metal,PMF_depth
Yb,-16.21684459968653
Er,-15.94469096533285
Mn,-15.243557589997465
Eu,-15.229736147648364
Sm,-14.975108084519395
Zn,-14.92068710235129
Cd,-14.779259736526317
Fe,-14.512599049932566
Ni,-14.246687606140238
V,-14.139538592584893
Cu,-14.02114973322774
Ba,-13.912274867446337
Pb,-13.820577002779673
Sr,-13.73288774860956
Sn,-13.63834904294713
Cr,-13.611606687090326
Ca,-13.572497105067946
Ra,-13.011124126670412
Co,-10.479905993255002
Pd,-8.951336181730621
Mg,-8.87257248799155
